"id"	"name"	"createdOn"	"createdBy"	"etag"	"modifiedOn"	"projectId"	"status"	"evaluationid"	"evaluationroundid"	"submitterid"	"submitteralias"	"entityid"	"entityversion"	"dockerrepositoryname"	"dockerdigest"
"9752597"	"test-all-challenge-instance-1"	"1748748223625"	"3473724"	"edc44c3d-29ba-43a8-a047-2c5994177ef3"	"1748749698912"	"syn65877330"	"ACCEPTED"	"9616012"		"3473724"		"syn68135527"	"1"		
"9752599"	"test-all-challenge-instance-1"	"1748749210209"	"3473724"	"ef4034cb-4262-4ab2-a11f-c366b2777f5a"	"1748749695896"	"syn65877330"	"ACCEPTED"	"9616012"		"3473724"		"syn68135527"	"1"		
"9752600"	"GHIST_2025_bottleneck_final_sub.yaml"	"1748749585610"	"3473724"	"4c8d16d5-c156-4dd7-be90-afea03d34b7c"	"1748749692858"	"syn65877330"	"ACCEPTED"	"9616012"		"3473724"		"syn68135527"	"1"		
"9752601"	"test-all-challenge-instance-2"	"1748751781516"	"3473724"	"7d805d1f-4526-4b5e-8755-7efcd18f9c1d"	"1748751829076"	"syn65877330"	"ACCEPTED"	"9616012"		"3473724"		"syn68135527"	"1"		
"9752602"	"GHIST_2025_bottleneck_final_sub.yaml"	"1748751910150"	"3473724"	"3010a5e9-100a-45e4-b4a9-cb8dc68306c4"	"1748751967299"	"syn65877330"	"ACCEPTED"	"9616018"		"3473724"		"syn68135527"	"1"		
"9752603"	"GHIST_2025_growth_testing_sub.yaml"	"1748751927988"	"3473724"	"dde4640d-9cae-4c2b-9882-b47a1c52e944"	"1748751995708"	"syn65877330"	"ACCEPTED"	"9616042"		"3473724"		"syn68135528"	"1"		
"9752604"	"GHIST_2025_growth_testing_sub.yaml"	"1748751939631"	"3473724"	"9bb1d6fa-bdc8-43e5-9b5b-5f10e0491bf7"	"1748752028360"	"syn65877330"	"ACCEPTED"	"9616014"		"3473724"		"syn68135528"	"1"		
"9752605"	"GHIST_2025_secondary_contact_sub.yaml"	"1748751951716"	"3473724"	"c8ac7f4a-5a00-4b85-aadf-08fa2a9af673"	"1748752034362"	"syn65877330"	"ACCEPTED"	"9616041"		"3473724"		"syn68135530"	"1"		
"9752606"	"GHIST_2025_secondary_contact_sub.yaml"	"1748751965981"	"3473724"	"510d1ebd-d356-447f-9153-630a9ffd40ff"	"1748752061035"	"syn65877330"	"ACCEPTED"	"9616013"		"3473724"		"syn68135530"	"1"		
"9752607"	"GHIST_2025_split_migration_sub.yaml"	"1748751978316"	"3473724"	"cf9e7070-c9ea-4a9f-9308-fa3cc4c7377d"	"1748752056950"	"syn65877330"	"ACCEPTED"	"9616043"		"3473724"		"syn68135529"	"1"		
"9752608"	"GHIST_2025_split_migration_sub.yaml"	"1748751988967"	"3473724"	"3b8508fc-c778-4451-a6df-ae97f016c515"	"1748752075839"	"syn65877330"	"ACCEPTED"	"9616015"		"3473724"		"syn68135529"	"1"		
"9752982"	"GHIST_2025_bottleneck_final_sub.yaml"	"1750200096625"	"3473724"	"5b20d1a0-4aee-48e5-a340-85b1ae58b7a3"	"1750200144347"	"syn65877330"	"ACCEPTED"	"9616012"		"3473724"		"syn68135527"	"1"		
"9753083"	"GHIST_2025_single_sweep_testing_sub.bed"	"1750446921530"	"3473724"	"eeb4f427-1cd0-49a2-842b-e928ca1e9801"	"1750447046812"	"syn65877330"	"INVALID"	"9616070"		"3473724"		"syn68421035"	"1"		
"9753084"	"GHIST_2025_single_sweep_testing_sub.bed"	"1750447597330"	"3473724"	"eff621f0-5f7f-45fc-bea7-eeaaf84a6a40"	"1750447634521"	"syn65877330"	"INVALID"	"9616070"		"3473724"		"syn68421035"	"1"		
"9753086"	"GHIST_2025_single_sweep_testing_sub.bed"	"1750451627594"	"3473724"	"144af4b1-e4d2-4d62-bd40-1e43af030f5e"	"1750451697699"	"syn65877330"	"ACCEPTED"	"9616070"		"3473724"		"syn68421035"	"1"		
"9753089"	"GHIST_2025_single_sweep_testing_sub.bed"	"1750469215002"	"3473724"	"f55774df-f65d-4a66-b122-ed0147bf6525"	"1750469276113"	"syn65877330"	"ACCEPTED"	"9616070"		"3473724"		"syn68421035"	"2"		
"9753131"	"GHIST_2025_bottleneck.submission (1).yaml"	"1750597485646"	"3508270"	"36548e81-f4cf-403f-aaa7-1415c9be853c"	"1750597541415"	"syn65877330"	"ACCEPTED"	"9616012"		"3508270"		"syn68466454"	"1"		
"9753132"	"GHIST_2025_bottleneck.submission (1).yaml"	"1750597837405"	"3508270"	"104284ab-1f61-457e-8500-8fbc818f1487"	"1750597885460"	"syn65877330"	"ACCEPTED"	"9616012"		"3508270"		"syn68466454"	"2"		
